-0.45001 	0.0288686 	7.76504e-19 	3.02805 	1.24239 	0
-0.416676 	0.0481144 	7.76504e-19 	3.06479 	1.31629 	0
-0.383342 	0.0673603 	7.76504e-19 	3.08511 	1.36271 	0
-0.350008 	0.0866062 	7.76504e-19 	3.09639 	1.40081 	0
-0.316675 	0.105852 	7.76504e-19 	3.10211 	1.43421 	0
-0.283341 	0.125098 	7.76504e-19 	3.10425 	1.46421 	0
-0.250007 	0.144344 	7.76504e-19 	3.10403 	1.49146 	0
-0.216672 	0.16359 	7.76504e-19 	3.10226 	1.51633 	0
-0.183338 	0.182836 	7.76504e-19 	3.09946 	1.5391 	0
-0.150004 	0.202082 	7.76504e-19 	3.09603 	1.55999 	0
-0.11667 	0.221328 	7.76504e-19 	3.09221 	1.57915 	0
-0.0833357 	0.240575 	7.76504e-19 	3.08819 	1.59673 	0
-0.0500015 	0.259821 	7.76504e-19 	3.08412 	1.61287 	0
-0.0166672 	0.279067 	7.76504e-19 	3.08011 	1.62769 	0
0 	0.28869 	7.76504e-19 	3.08011 	1.62769 	0
